Material,Hf (eV/atom),Ecoh (eV/atom),(ρ0 × λ)⊥τ (10^-16 m2),(ρ0 × λ)⊥λ (10^-16 m2),n,adirection,bdirection,TM_Z,TM_row,TM_group,TM_atomic_radius_calculated,TM_mendeleev_no,TM_electrical_resistivity,TM_poissons_ratio,TM_molar_volume,TM_thermal_conductivity,TM_boiling_point,TM_melting_point,TM_liquid_range,TM_bulk_modulus,TM_youngs_modulus,TM_brinell_hardness,TM_rigidity_modulus,TM_mineral_hardness,TM_vickers_hardness,TM_density_of_solid,TM_coefficient_of_linear_thermal_expansion,TM_ionization_energies,TM_atomic_mass,TM_atomic_radius,TM_average_anionic_radius,TM_average_cationic_radius,TM_average_ionic_radius,TM_electron_affinity,A_Z,A_row,A_group,A_atomic_radius_calculated,A_mendeleev_no,A_electrical_resistivity,A_molar_volume,A_thermal_conductivity,A_boiling_point,A_melting_point,A_liquid_range,A_mineral_hardness,A_density_of_solid,A_ionization_energies,A_atomic_mass,A_atomic_radius,A_average_anionic_radius,A_average_cationic_radius,A_average_ionic_radius,A_electron_affinity,X_Z,X_row,X_group,X_atomic_radius_calculated,X_mendeleev_no,X_refractive_index,X_molar_volume,X_thermal_conductivity,X_boiling_point,X_melting_point,X_liquid_range,X_ionization_energies,X_atomic_mass,X_atomic_radius,X_average_anionic_radius,X_average_cationic_radius,X_average_ionic_radius,X_electron_affinity,mean_Z,stddev_Z,mean_row,stddev_row,mean_group,stddev_group,mean_atomic_radius_calculated,stddev_atomic_radius_calculated,mean_mendeleev_no,stddev_mendeleev_no,mean_molar_volume,stddev_molar_volume,mean_thermal_conductivity,stddev_thermal_conductivity,mean_boiling_point,stddev_boiling_point,mean_melting_point,stddev_melting_point,mean_liquid_range,stddev_liquid_range,mean_ionization_energies,stddev_ionization_energies,mean_atomic_mass,stddev_atomic_mass,mean_atomic_radius,stddev_atomic_radius,mean_average_anionic_radius,stddev_average_anionic_radius,mean_average_cationic_radius,stddev_average_cationic_radius,mean_average_ionic_radius,stddev_average_ionic_radius,mean_electron_affinity,stddev_electron_affinity
β-Ti3InN2,-3.637,4.8,2.9,2.8,3,0,1,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,21.499999999999996,14.0089257261219,3.4999999999999996,1.118033988749895,9.166666666666666,5.2094998693625945,1.3266666666666669,0.5467073155618908,72.0,22.135943621178654,12.46,1.9646882704388497,24.675276666666665,27.45537489247638,2196.6200000000003,1558.8969173104422,1063.1416666666667,886.3273893886816,1133.4783333333332,798.2727522473479,9.223162616666666,3.773439595449961,47.738733333333336,33.604011464787284,1.1749999999999998,0.37499999999999994,0.44,0.6222539674441618,0.6775,0.27929101708114823,0.7925,0.11907339006773184,0.07842683333333333,0.15133610795776914
α-Ti3SnC2,-0.802,7.8,8.1,8.2,3,1,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,50.0,5.0,14.0,1.45,83.0,1.15e-07,16.29,67.0,2875.0,505.08,2369.92,1.5,7310.0,7.343918,118.71,1.45,0.0,0.83,0.83,1.1120702,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.333333333333332,14.681810363696826,3.4999999999999996,1.118033988749895,9.0,5.0,1.345,0.4897193073588175,71.0,20.396078054371138,9.798333333333334,3.762027009767769,68.83333333333333,52.77757309901832,3692.5,493.13410954830533,2321.3466666666664,1162.29992725152,1371.1533333333334,670.7750523751528,8.391475666666667,2.0367371084760104,47.722066666666656,35.566728634013494,1.175,0.3363406011768427,0.0,0.0,0.6641666666666667,0.257618635022995,0.6641666666666667,0.257618635022995,0.6438220706666666,0.5704737297383242
β-Ti3SnC2,-0.574,7.6,2.6,2.6,3,0,1,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,50.0,5.0,14.0,1.45,83.0,1.15e-07,16.29,67.0,2875.0,505.08,2369.92,1.5,7310.0,7.343918,118.71,1.45,0.0,0.83,0.83,1.1120702,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.333333333333332,14.681810363696826,3.4999999999999996,1.118033988749895,9.0,5.0,1.345,0.4897193073588175,71.0,20.396078054371138,9.798333333333334,3.762027009767769,68.83333333333333,52.77757309901832,3692.5,493.13410954830533,2321.3466666666664,1162.29992725152,1371.1533333333334,670.7750523751528,8.391475666666667,2.0367371084760104,47.722066666666656,35.566728634013494,1.175,0.3363406011768427,0.0,0.0,0.6641666666666667,0.257618635022995,0.6641666666666667,0.257618635022995,0.6438220706666666,0.5704737297383242
α-V3AlC2,-0.531,8.4,7.5,7.3,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,15.666666666666666,7.695597587076796,3.1666666666666665,0.8975274678557507,9.333333333333332,4.346134936801766,1.2750000000000001,0.4670385423067351,72.0,18.681541692269406,7.59,1.731415605797753,101.33333333333333,77.13336214346913,3738.666666666667,506.0786061033953,2513.745,1011.1338265160551,1224.9216666666669,528.293198909364,8.124151,2.233821184254684,33.97123976666666,17.688771076811985,1.1166666666666667,0.2967415635794143,0.0,0.0,0.60125,0.2160765200108517,0.60125,0.2160765200108517,0.756674704,0.35896833405084805
β-V3AlC2,-0.26,8.1,4.8,5.4,3,0,1,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,15.666666666666666,7.695597587076796,3.1666666666666665,0.8975274678557507,9.333333333333332,4.346134936801766,1.2750000000000001,0.4670385423067351,72.0,18.681541692269406,7.59,1.731415605797753,101.33333333333333,77.13336214346913,3738.666666666667,506.0786061033953,2513.745,1011.1338265160551,1224.9216666666669,528.293198909364,8.124151,2.233821184254684,33.97123976666666,17.688771076811985,1.1166666666666667,0.2967415635794143,0.0,0.0,0.60125,0.2160765200108517,0.60125,0.2160765200108517,0.756674704,0.35896833405084805
α-V3AlN2,-3.415,5.7,2.9,3.5,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,16.0,7.280109889280518,3.1666666666666665,0.8975274678557507,9.666666666666666,4.714045207910317,1.2383333333333335,0.5149568482460987,73.66666666666666,20.765890836230028,10.34,2.3394016328967537,54.67527666666666,81.8246968248977,2331.1200000000003,1624.2798616002108,1268.095,959.8085114360051,1063.025,752.4889156824837,9.215431666666666,3.770484772856388,34.6365731,16.86878184242235,1.1,0.32015621187164245,0.44,0.6222539674441618,0.59625,0.22305058282820064,0.7112499999999999,0.06792689084596759,0.31263683333333336,0.2726343578913075
α-V3SiC2,-0.508,8.7,3.1,4.0,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,15.833333333333332,7.646713164636308,3.1666666666666665,0.8975274678557507,9.5,4.5,1.2633333333333334,0.47013000566037283,72.83333333333333,19.12604390760294,7.933333333333334,2.289553571235134,87.16666666666666,56.26549169389312,3802.166666666666,395.0318200966713,2639.333333333333,839.2410592645926,1162.8333333333333,468.71007978161606,8.485136166666667,2.0242678110017467,34.15523333333333,17.620719913657204,1.0916666666666668,0.2907127257085402,0.0,0.0,0.57875,0.2142464993879713,0.57875,0.2142464993879713,0.9161224173333333,0.390775038492351
α-V3SiN2,-3.392,5.9,2.0,2.3,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,16.166666666666664,7.22072634081149,3.1666666666666665,0.8975274678557507,9.833333333333332,4.844813951249544,1.2266666666666668,0.516935413975694,74.5,21.10094784600919,10.683333333333334,2.414274678287916,40.50861,50.887648189557744,2394.62,1648.3258412098014,1393.6833333333332,957.1021543643545,1000.9366666666666,697.6612463716821,9.576416833333333,3.5406759585001755,34.820566666666664,16.79011955910049,1.0750000000000002,0.31324910215354174,0.44,0.6222539674441618,0.57375,0.2207692517086562,0.68875,0.09368330961275864,0.47208454666666666,0.4896713236270504
α-V3GaC2,-0.528,8.3,3.9,4.1,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,18.666666666666664,9.392668535736915,3.333333333333333,0.9428090415820634,9.333333333333332,4.346134936801766,1.305,0.4657520799738848,72.16666666666666,18.756480361612503,7.890000000000001,2.2121934815924216,67.0,51.62363799656123,3686.166666666667,607.6979558592867,2408.6516666666666,1187.3362595942322,1277.515,599.6425152747261,8.1264065,2.231666704152806,41.09481666666667,21.611016031676737,1.125,0.3010398644698074,0.0,0.0,0.6154166666666666,0.2231190669923921,0.6154166666666666,0.2231190669923921,0.7347357206666667,0.38141091690878204
α-V3GaN2,-3.411,5.5,2.6,2.9,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,18.999999999999996,8.94427190999916,3.333333333333333,0.9428090415820634,9.666666666666666,4.714045207910317,1.2683333333333333,0.5159268897388035,73.83333333333333,20.81999573060048,10.64,2.391401262858243,20.341943333333333,14.383053586996825,2278.6200000000003,1613.590381354574,1163.0016666666666,1023.1271355573992,1115.6183333333333,814.706315826275,9.217687166666666,3.768555671667038,41.76015,20.717627427688235,1.1083333333333334,0.3245723682358408,0.44,0.6222539674441618,0.6104166666666666,0.2301874990572299,0.7254166666666666,0.0677528699679127,0.29069785,0.2673238427467937
α-V3GeC2,-0.478,8.5,2.4,3.5,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,18.833333333333332,9.616247824501103,3.333333333333333,0.9428090415820634,9.5,4.5,1.2866666666666666,0.4653911138911967,72.66666666666666,19.0233774311737,8.195,2.782808832816225,72.16666666666666,49.04901176940832,3788.833333333333,416.79348070184056,2560.0666666666666,941.6571326950991,1228.7666666666667,532.9540995453757,8.443095333333332,2.0333555712782307,41.58098333333333,22.27226842932833,1.1166666666666667,0.2967415635794143,0.0,0.0,0.6170833333333333,0.22422745458326213,0.6170833333333333,0.22422745458326213,0.8899816061666667,0.3624524523299392
α-V3GeN2,-3.359,5.7,2.0,3.4,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,19.166666666666664,9.172725270544674,3.333333333333333,0.9428090415820634,9.833333333333332,4.844813951249544,1.25,0.5142956348249516,74.33333333333333,21.02115336723675,10.945,2.625171422974126,25.50861,20.731884580621223,2381.286666666667,1642.2880891271448,1314.4166666666667,949.1891735698539,1066.87,756.591647984565,9.534375999999998,3.5587944094799853,42.246316666666665,21.391378813002888,1.1,0.32015621187164245,0.44,0.6222539674441618,0.6120833333333333,0.23129804305748508,0.7270833333333333,0.06869947638487177,0.4459437355,0.44184797659156916
α-V3AsC2,-0.48,8.5,3.0,2.9,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,33.0,4.0,15.0,1.14,89.0,3.3e-07,12.95,50.0,887.0,1090.0,203.0,3.5,5727.0,9.78855,74.9216,1.15,0.0,0.6599999999999999,0.6599999999999999,0.80482,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,19.0,9.848857801796104,3.333333333333333,0.9428090415820634,9.666666666666666,4.678556282539399,1.2683333333333333,0.46862979940341914,73.5,19.60229578391266,8.081666666666667,2.5644324691613325,70.5,49.60090724976712,3421.1666666666665,1166.7391048940156,2539.833333333333,971.2575039035163,949.0,556.8707210834486,8.757947833333333,2.07071237327346,41.96125,22.812241716948815,1.1,0.29154759474226505,0.0,0.0,0.59875,0.21529413020331045,0.59875,0.21529413020331045,0.818672204,0.3285151606623525
α-V3AsN2,-3.351,5.7,2.6,2.8,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,33.0,4.0,15.0,1.14,89.0,3.3e-07,12.95,50.0,887.0,1090.0,203.0,3.5,5727.0,9.78855,74.9216,1.15,0.0,0.6599999999999999,0.6599999999999999,0.80482,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,19.333333333333332,9.410396142328736,3.333333333333333,0.9428090415820634,10.0,5.0,1.2316666666666667,0.5159268897388035,75.16666666666666,21.481904529678513,10.831666666666667,2.5193545249174876,23.841943333333333,18.130874969319294,2013.62,1688.0928643886864,1294.1833333333334,952.4577508856875,787.1033333333334,712.6775343886056,9.849228499999999,3.4829797028294966,42.626583333333336,21.9415020112128,1.0833333333333335,0.3144660377352202,0.44,0.6222539674441618,0.59375,0.22223650127735542,0.70875,0.06947346615795126,0.3746343333333333,0.3293203832286864
α-V3CdC2,-0.384,7.8,3.4,3.7,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,48.0,5.0,12.0,1.61,75.0,7e-08,13.0,97.0,1040.0,594.22,445.78,2.0,8650.0,8.99382,112.411,1.55,0.0,1.09,1.09,-0.72,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.5,14.080127840328723,3.4999999999999996,1.118033988749895,9.166666666666666,4.2196629670573875,1.3466666666666667,0.47978004219526355,71.16666666666666,18.415723957772848,8.09,2.5802713035648015,78.33333333333333,49.455928753678144,3446.6666666666665,1111.4355082004934,2457.203333333333,1103.2131163358943,989.4633333333333,507.8583595736993,8.625492833333332,2.025476375567273,48.20948333333333,33.57809384387469,1.1666666666666667,0.33747427885527653,0.0,0.0,0.6704166666666667,0.28427325713514145,0.6704166666666667,0.28427325713514145,0.5645355373333334,0.6617326827415484
α-V3CdN2,-3.287,5.0,2.1,2.1,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,48.0,5.0,12.0,1.61,75.0,7e-08,13.0,97.0,1040.0,594.22,445.78,2.0,8650.0,8.99382,112.411,1.55,0.0,1.09,1.09,-0.72,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,21.833333333333332,13.716373022373256,3.4999999999999996,1.118033988749895,9.5,4.6097722286464435,1.31,0.5315072906367324,72.83333333333333,20.594632526192083,10.84,2.5264203925712754,31.675276666666665,32.33177596657952,2039.12,1671.9602712983342,1211.5533333333333,987.4500946320725,827.5666666666666,684.7087986793282,9.716773499999999,3.497848422513796,48.87481666666667,32.86647545328505,1.15,0.36055512754639896,0.44,0.6222539674441618,0.6654166666666667,0.29080139509446806,0.7804166666666666,0.15336107086074866,0.12049766666666666,0.46122363207366357
α-V3InC2,-0.413,8.1,3.4,3.9,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.666666666666664,14.395215254459455,3.4999999999999996,1.118033988749895,9.333333333333332,4.346134936801766,1.3383333333333334,0.4755493898873409,71.83333333333333,18.613764321657836,8.55,3.4975705854206858,75.83333333333333,48.824231233635984,3664.166666666667,651.8589869664212,2429.7916666666665,1150.2048224905664,1234.375,539.925877435968,8.09091545,2.2666320159885265,48.61065,34.34827617992641,1.1666666666666667,0.33747427885527653,0.0,0.0,0.6454166666666666,0.25091257054112603,0.6454166666666666,0.25091257054112603,0.748523204,0.36670159299736244
β-V3InN2,-3.121,5.2,1.5,2.7,3,0,1,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,21.999999999999996,14.035668847618199,3.4999999999999996,1.118033988749895,9.666666666666666,4.714045207910317,1.3016666666666667,0.5271121533622822,73.5,20.71834935510066,11.3,3.0705048444840464,29.175276666666665,27.38558234703842,2256.6200000000003,1611.634325397669,1184.1416666666667,1006.3095735643293,1072.4783333333332,762.7101308145986,9.182196116666667,3.7995733525414623,49.275983333333336,33.64501567773036,1.15,0.36055512754639896,0.44,0.6222539674441618,0.6404166666666666,0.2578008625319594,0.7554166666666666,0.10566669952680875,0.30448533333333333,0.26963333835579173
α-V3SnC2,-0.38,8.3,2.8,4.6,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,50.0,5.0,14.0,1.45,83.0,1.15e-07,16.29,67.0,2875.0,505.08,2369.92,1.5,7310.0,7.343918,118.71,1.45,0.0,0.83,0.83,1.1120702,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.833333333333332,14.712995011968918,3.4999999999999996,1.118033988749895,9.5,4.5,1.32,0.46872166581031854,72.5,18.9274932307477,8.638333333333334,3.680459285952713,73.33333333333333,48.82849805413046,3752.5,480.50104058159957,2442.3466666666664,1128.5115097133726,1310.1533333333334,650.7095185684282,8.350509166666667,2.068348791428194,49.259316666666656,35.60619216964078,1.1500000000000001,0.32015621187164245,0.0,0.0,0.6270833333333333,0.23202647418392197,0.6270833333333333,0.23202647418392197,0.8698805706666667,0.3458540116656206
α-V3SnN2,-3.255,5.5,2.3,3.8,3,1,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,50.0,5.0,14.0,1.45,83.0,1.15e-07,16.29,67.0,2875.0,505.08,2369.92,1.5,7310.0,7.343918,118.71,1.45,0.0,0.83,0.83,1.1120702,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,22.166666666666664,14.357537702854515,3.4999999999999996,1.118033988749895,9.833333333333332,4.844813951249544,1.2833333333333334,0.5196686978792887,74.16666666666666,20.947686162332,11.388333333333332,3.2023346518161118,26.675276666666665,22.7397560193542,2344.9533333333334,1628.4940551592101,1196.6966666666667,997.2483758934994,1148.2566666666667,859.1659835108827,9.441789833333333,3.6070243248512295,49.92464999999999,34.91590991414229,1.1333333333333333,0.3435921354681384,0.44,0.6222539674441618,0.6220833333333333,0.23907554884503676,0.7370833333333333,0.07796121721015446,0.4258427,0.40696634946890875
β-Ta3AlC2,-0.248,9.1,135.0,137.0,3,0,1,73.0,6.0,5.0,2.0,52.0,1.35e-07,0.34,10.85,57.0,5731.0,3290.0,2441.0,200.0,186.0,800.0,69.0,6.5,873.0,16650.0,6.3e-06,7.549571,180.94788,1.45,0.0,0.82,0.82,0.32312,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,40.666666666666664,32.41741644377122,4.166666666666667,1.8633899812498247,9.333333333333332,4.346134936801766,1.4200000000000002,0.604400529450463,71.0,19.6468827043885,8.855,2.5386856835772322,114.33333333333331,65.49724336862498,4764.166666666667,1089.6974223252168,3067.245,981.1315661648033,1696.9216666666669,871.0451484742656,8.525843,2.011039362099359,98.97442976666667,82.12520583217787,1.1666666666666667,0.3374742788552764,0.0,0.0,0.6224999999999999,0.23373328817265202,0.6224999999999999,0.23373328817265202,0.654403704,0.4314630213515513
α-Cr3AlC2,-0.072,6.8,2.3,2.6,3,1,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,16.166666666666664,8.173466556826153,3.1666666666666665,0.8975274678557507,9.833333333333332,3.8477987935383986,1.25,0.44384682042344287,73.5,17.240939649566666,7.045,1.5808621065734987,132.83333333333331,50.1079390471765,3370.6666666666665,659.33164812727,2512.245,1011.6254742368837,858.4216666666666,462.5824636543797,8.1343125,2.2275672777573403,34.49853976666667,18.195260480134202,1.1416666666666666,0.31677629681247016,0.0,0.0,0.6825,0.28623635338649767,0.6825,0.28623635338649767,0.830764304,0.3168794950937098
